,Podname,Namespace,PodIP,PodSecurityPolicy,allow_privilege_escalation,capabilities,NET_RAW,privileged,read_only_root_filesystem,runAsGroup,runAsUser,image_pull_policy,host_ipc,host_network,host_pid,volume_mounts,volume_mounts_token,host_path,resources_limits,resources_requests
0,calico-kube-controllers-5ccd78d7d4-tdpm6,calico-system,192.168.219.70,None,None,None,None,None,None,None,None,IfNotPresent,None,None,None,"{'mount_path': '/var/run/secrets/kubernetes.io/serviceaccount', 'mount_propagation': None, 'name': 'calico-kube-controllers-token-vf8sn', 'read_only': True, 'sub_path': None, 'sub_path_expr': None}",calico-kube-controllers-token-vf8sn,None,None,None
1,calico-node-b84cv,calico-system,10.0.2.15,None,None,None,None,True,None,None,None,IfNotPresent,None,True,None,"{'mount_path': '/lib/modules', 'mount_propagation': None, 'name': 'lib-modules', 'read_only': True, 'sub_path': None, 'sub_path_expr': None}",lib-modules,/lib/modules,None,None
2,calico-node-vtjtv,calico-system,10.0.2.15,calico-node,None,"{'add': None, 'drop': ['ALL']}",None,True,None,None,None,IfNotPresent,None,True,None,"{'mount_path': '/lib/modules', 'mount_propagation': None, 'name': 'lib-modules', 'read_only': True, 'sub_path': None, 'sub_path_expr': None}",lib-modules,/lib/modules,None,None
3,calico-typha-547486645c-f9zfj,calico-system,10.0.2.15,None,None,None,None,None,None,None,None,IfNotPresent,None,True,None,"{'mount_path': '/typha-ca', 'mount_propagation': None, 'name': 'typha-ca', 'read_only': True, 'sub_path': None, 'sub_path_expr': None}",typha-ca,None,None,None
4,calico-typha-547486645c-xgcrs,calico-system,10.0.2.15,calico-typha,False,"{'add': None, 'drop': ['ALL']}",None,None,None,None,None,IfNotPresent,None,True,None,"{'mount_path': '/typha-ca', 'mount_propagation': None, 'name': 'typha-ca', 'read_only': True, 'sub_path': None, 'sub_path_expr': None}",typha-ca,None,None,None
5,hostpath-pod,default,192.168.219.79,permissive-psp,None,None,None,None,None,None,None,Always,None,None,None,"{'mount_path': '/host-path', 'mount_propagation': None, 'name': 'host-volume', 'read_only': None, 'sub_path': None, 'sub_path_expr': None}",host-volume,/,None,None
6,hostpid,default,10.0.2.15,permissive-psp,None,None,None,None,None,None,None,Always,True,True,True,"{'mount_path': '/var/run/secrets/kubernetes.io/serviceaccount', 'mount_propagation': None, 'name': 'default-token-bzv54', 'read_only': True, 'sub_path': None, 'sub_path_expr': None}",default-token-bzv54,None,None,None
7,mypod,default,192.168.219.109,permissive-psp,None,"{'add': ['NET_RAW'], 'drop': None}",NET_RAW,None,None,None,None,IfNotPresent,None,None,None,"{'mount_path': '/var/run/secrets/kubernetes.io/serviceaccount', 'mount_propagation': None, 'name': 'default-token-bzv54', 'read_only': True, 'sub_path': None, 'sub_path_expr': None}",default-token-bzv54,None,None,None
8,priv-esc-pod,default,192.168.219.104,permissive-psp,True,None,None,None,None,None,None,IfNotPresent,None,None,None,"{'mount_path': '/var/run/secrets/kubernetes.io/serviceaccount', 'mount_propagation': None, 'name': 'default-token-bzv54', 'read_only': True, 'sub_path': None, 'sub_path_expr': None}",default-token-bzv54,None,None,None
9,privileged-pod,default,192.168.219.92,permissive-psp,None,None,None,True,None,None,None,Always,None,None,None,"{'mount_path': '/var/run/secrets/kubernetes.io/serviceaccount', 'mount_propagation': None, 'name': 'default-token-bzv54', 'read_only': True, 'sub_path': None, 'sub_path_expr': None}",default-token-bzv54,None,None,None
